n	hits	z	gap_mean
1	17667	0.2347	3.9937
2	17571	-0.5999	4.0155
3	17608	-0.2782	4.0073
4	17898	2.2431	3.9424
5	17600	-0.3478	4.0091
6	17582	-0.5043	4.0131
7	17695	0.4782	3.9875
8	17572	-0.5912	4.0153
9	17573	-0.5825	4.015
10	17472	-1.4606	4.0381
11	17589	-0.4434	4.0117
12	17653	0.113	3.9972
13	17637	-0.0261	4.0007
14	17570	-0.6086	4.0159
15	17698	0.5043	3.9864
16	17632	-0.0696	4.0015
17	17586	-0.4695	4.0122
18	17729	0.7738	3.9795
19	17491	-1.2954	4.0334
20	17552	-0.7651	4.0196
21	17564	-0.6607	4.0174
22	17833	1.6779	3.9567
23	17473	-1.4519	4.0384
24	17550	-0.7825	4.0199
25	17547	-0.8085	4.0206
26	17862	1.9301	3.9503
27	17488	-1.3215	4.0349
28	17753	0.9824	3.9745
29	17624	-0.1391	4.003
30	17681	0.3565	3.9901
31	17510	-1.1302	4.0294
32	17602	-0.3304	4.0086
33	17680	0.3478	3.9911
34	17527	-0.9824	4.025
35	17723	0.7216	3.9814
36	17607	-0.2869	4.0072
37	17738	0.852	3.978
38	17529	-0.965	4.0254
39	17672	0.2782	3.9929
40	17570	-0.6086	4.0158
41	17734	0.8172	3.9787
42	17914	2.3822	3.9384
43	17670	0.2608	3.9933
44	17672	0.2782	3.9926
45	17678	0.3304	3.9904
46	17560	-0.6955	4.0182
47	17590	-0.4347	4.0111
48	17600	-0.3478	4.009
49	17678	0.3304	3.9911
50	17427	-1.8518	4.0483
51	17745	0.9129	3.9761
52	17560	-0.6955	4.0182
53	17555	-0.739	4.0193
54	17649	0.0782	3.9977
55	17718	0.6781	3.9825
56	17748	0.939	3.9754
57	17524	-1.0085	4.0264
58	17591	-0.426	4.011
59	17488	-1.3215	4.0348
60	17517	-1.0694	4.0281
61	17743	0.8955	3.9764
62	17896	2.2257	3.9429
63	17614	-0.226	4.0056
64	17695	0.4782	3.9873
65	17837	1.7127	3.9559
66	17597	-0.3738	4.0096
67	17645	0.0435	3.9989
68	17494	-1.2693	4.0334
69	17588	-0.4521	4.0117
70	17609	-0.2695	4.0072
71	17741	0.8781	3.9774
72	17641	0.0087	3.9995
73	17704	0.5564	3.9857
74	17510	-1.1302	4.0296
75	17667	0.2347	3.9935
76	17953	2.7212	3.9303
77	17639	-0.0087	3.9999
78	17691	0.4434	3.9886
79	17659	0.1652	3.9958
80	17751	0.965	3.975
