id,source,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,bonus
1381023,ecran-live,33,35,45,44,27,70,34,77,7,64,73,22,63,61,8,14,2,26,72,43,
1381026,ecran-live,48,57,1,63,32,47,35,30,21,58,39,22,76,64,37,74,18,69,3,59,
1381028,jeux.loro.ch,7,73,14,8,60,10,71,33,9,37,51,12,77,17,23,15,3,56,21,47,
1381030,ecran-live,4,13,33,70,78,44,32,54,41,16,72,48,65,67,6,10,53,29,47,22,
1381031,ecran-live,67,38,68,37,65,47,53,64,71,3,70,13,74,39,54,75,27,19,73,56,
1381256,ecran-live,25,28,50,17,64,76,30,34,33,16,35,79,43,21,26,67,47,57,70,10,
1381257,ecran-live,30,63,62,20,72,4,57,39,71,41,75,46,37,67,48,51,5,19,10,64,
1381258,ecran-live,24,19,31,69,25,50,53,80,73,42,29,77,66,13,12,47,15,2,4,78,
1381259,ecran-live,77,38,16,80,50,42,12,19,7,73,66,46,76,55,37,11,20,48,18,22,
1381278,video-release-VideoLoto,17,74,45,36,69,60,4,47,7,75,28,12,8,22,54,25,56,62,52,15,45
